Index,Time,Latitude,Longitude,Height,Elevation,Azimuth,Distance,dElev,dAz,Elev Steps,Az Steps
1093,110183,-35.33447963350068,-74.09404717574043,389.9328104489026,8.404921020305581,261.9969879524559,1516.7117343251025,0.00993375660447704,-0.0017687593088453468,0,0
1094,110282,-35.334976608481576,-74.08653039795043,389.9333530875204,8.41486088184197,261.99521775869374,1516.0350721133818,0.00993986153638815,-0.0017701937621836805,1,0
1095,110382,-35.33547306390718,-74.07901352431145,389.9338955052589,8.42480685628808,261.99344612841173,1515.358428284241,0.00994597444611145,-0.0017716302820076635,0,0
1096,110483,-35.335968999762194,-74.0714965549113,389.9344377021069,8.434758951664591,261.99167305953745,1514.6818028691673,0.009952095376510428,-0.0017730688742858547,0,0
1097,110582,-35.33646441603104,-74.06397948985804,389.93497967804524,8.44471717597874,261.98989854999513,1514.0051959015184,0.009958224314148723,-0.0017745095423151724,0,0
1098,110683,-35.33695931269821,-74.05646232924195,389.9355214330637,8.454681537275047,261.98812259770534,1513.3286074131076,0.009964361296306734,-0.001775952289790439,0,0
1099,110782,-35.33745368974849,-74.04894507316334,389.9360629671573,8.464652043598418,261.9863452005829,1512.6520374367096,0.009970506323371708,-0.0017773971224528395,1,0
1100,110882,-35.3379475471662,-74.0414277217224,389.9366042803027,8.474628703007713,261.984566356541,1511.975486005124,0.009976659409295152,-0.00177884404189399,0,0
1101,110983,-35.33844088493581,-74.03391027501637,389.9371453724927,8.484611523579229,261.98278606348845,1511.2989531509584,0.00998282057151556,-0.0017802930525476768,0,0
1102,111082,-35.338933703042265,-74.02639273314381,389.93768624371324,8.494600513401448,261.9810043193275,1510.6224389069803,0.009988989822218741,-0.0017817441609508933,0,0
1103,111183,-35.339426001469874,-74.0188750961995,389.93822689395716,8.504595680581831,261.9792211219596,1509.9459433056684,0.009995167180383291,-0.0017831973678994473,0,0
1104,111282,-35.33991778020344,-74.01135736428722,389.9387673232022,8.514597033229057,261.97743646928,1509.2694663803713,0.010001352647226014,-0.0017846526795892714,1,0
1105,111382,-35.34040903922724,-74.00383953750475,389.9393075314412,8.524604579474367,261.97565035918217,1508.5930081639467,0.010007546245310195,-0.0017861100978393551,0,0
1106,111483,-35.34089977852646,-73.99632161594424,389.9398475186631,8.534618327469865,261.9738627895518,1507.9165686888075,0.010013747995497368,-0.0017875696303804034,0,0
1107,111582,-35.341389998085376,-73.98880359970819,389.94038728485464,8.544638285368045,261.97207375827446,1507.2401479883347,0.01001995789818011,-0.001789031277326103,0,0
1108,111683,-35.34187969788896,-73.98128548889395,389.9409268300017,8.554664461342053,261.97028326322857,1506.5637460955174,0.010026175974008567,-0.0017904950458955682,0,0
1109,111782,-35.342368877921594,-73.97376728360322,389.94146615408994,8.564696863573321,261.96849130229106,1505.887363043777,0.010032402231267668,-0.0017919609375098844,1,1
1110,111882,-35.342857538168076,-73.96624898393229,389.94200525710534,8.574735500264108,261.9666978733331,1505.2109988661111,0.010038636690786973,-0.0017934289579670804,0,0
1111,111983,-35.3433456786134,-73.95873058997437,389.94254413904883,8.58478037963559,261.9649029742214,1504.5346535952922,0.010044879371482907,-0.0017948991117009427,0,0
1112,112082,-35.34383329924207,-73.95121210183397,389.9430827998971,8.59483150990707,261.96310660281983,1503.858327265162,0.010051130271479636,-0.0017963714015536425,0,0
1113,112183,-35.34432040003885,-73.9436935196059,389.94362123963197,8.604888899325166,261.961308756988,1503.1820199087447,0.010057389418095752,-0.0017978458318452795,0,0
1114,112282,-35.34480698098863,-73.93617484339153,389.9441594582584,8.614952556142152,261.9595094345801,1502.5057315597096,0.0100636568169854,-0.0017993224078622916,1,0
1115,112382,-35.34529304207607,-73.92865607328875,389.94469745574605,8.62502248862863,261.9577086334477,1501.8294622514597,0.010069932486478805,-0.0018008011324468498,0,0
1116,112483,-35.345778583286155,-73.92113720939258,389.94523523209386,8.635098705073327,261.9559063514371,1501.153212017211,0.010076216444696584,-0.001802282010601175,0,0
1117,112582,-35.346263604603315,-73.91361825180847,389.9457727872816,8.645181213765467,261.9541025863922,1500.4769808911624,0.010082508692139669,-0.001803765044883221,0,0
1118,112683,-35.34674810601297,-73.90609920062644,389.94631012130316,8.655270023028628,261.9522973361489,1499.800768906177,0.010088809263161025,-0.0018052502433079098,0,0
1119,112782,-35.34723208749964,-73.89858005594944,389.94684723414235,8.665365141184083,261.950490598543,1499.124576096339,0.01009511815545494,-0.0018067376058752416,1,0
1120,112882,-35.34771554904832,-73.89106081787281,389.94738412579306,8.675466576576945,261.94868237140406,1498.448402495107,0.010101435392861902,-0.001808227138951679,0,0
1121,112983,-35.34819849064368,-73.88354148650117,389.94792079623403,8.685574337554451,261.9468726525585,1497.7722481368273,0.01010776097750643,-0.0018097188455499236,0,0
1122,113082,-35.348680912270844,-73.87602206192538,389.9484572454551,8.695688432496272,261.94506143982716,1497.0961130546586,0.01011409494182125,-0.001811212731354317,0,0
1123,113183,-35.34916281391459,-73.86850254425237,389.9489934734471,8.705808869775575,261.9432487310278,1496.4199972832719,0.010120437279303118,-0.0018127087993775604,0,0
1124,113282,-35.34964419556003,-73.86098293357203,389.949529480203,8.715935657802268,261.941434523973,1495.7439008558615,0.010126788026692424,-0.001814207054792405,1,0
1125,113382,-35.35012505719208,-73.85346322998542,389.9500652656934,8.726068804985681,261.9396188164716,1495.0678238066564,0.010133147183413627,-0.0018157075014073598,0,0
1126,113483,-35.350605398795445,-73.84594343359653,389.95060082992137,8.73620831974595,261.9378016063289,1494.3917661702399,0.010139514760268753,-0.0018172101426898735,0,0
1127,113582,-35.35108522035556,-73.8384235444936,389.95113617286455,8.746354210538641,261.93598289134405,1493.7157279798166,0.010145890792690793,-0.0018187149848358786,0,0
1128,113683,-35.35156452185698,-73.83090356278788,389.9516712945219,8.756506485803172,261.9341626693143,1493.0397092707212,0.010152275264530886,-0.0018202220297780514,0,0
1129,113782,-35.35204330328498,-73.8233834885675,389.95220619487424,8.766665154024357,261.9323409380305,1492.363710076261,0.010158668221185607,-0.001821731283769168,1,0
1130,113882,-35.352521564624624,-73.81586332193467,389.9527408739063,8.776830223682545,261.93051769527983,1491.6877304310665,0.01016506965818742,-0.0018232427506745807,0,0
1131,113983,-35.35299930586083,-73.80834306298615,389.95327533161407,8.787001703280389,261.92869293884615,1491.011770369343,0.010171479597843813,-0.0018247564336775213,0,0
1132,114082,-35.353476526978625,-73.80082271182695,389.95380956797214,8.797179601323696,261.9268666665079,1490.3358299260826,0.01017789804330782,-0.0018262723382349577,0,0
1133,114183,-35.35395322796325,-73.79330226854724,389.9543435829857,8.807363926353364,261.92503887603925,1489.6599091350122,0.010184325029667818,-0.00182779046866699,1,0
1134,114282,-35.35442940879966,-73.78578173325019,389.95487737662523,8.817554686906838,261.9232095652108,1488.9840080310753,0.01019076055347412,-0.0018293108284410664,0,0
1135,114382,-35.35490506947313,-73.7782611060337,389.95541094889177,8.82775189154426,261.9213787317874,1488.3081266488043,0.010197204637421464,-0.0018308334234120593,0,0
1136,114483,-35.35538020996863,-73.77074038699683,389.95594429976717,8.837955548838003,261.91954637353115,1487.6322650228883,0.010203657293743618,-0.0018323582562516094,0,0
1137,114582,-35.35585483027141,-73.76321957623522,389.9564774292361,8.848165667380512,261.91771248819856,1486.9564231877719,0.010210118542508084,-0.001833885332587215,0,1
1138,114683,-35.35632893036656,-73.75569867385072,389.9570103372935,8.858382255770746,261.91587707354256,1486.2806011785067,0.010216588390234094,-0.0018354146560000117,1,0
1139,114782,-35.35680251023922,-73.74817767994324,389.9575430239213,8.868605322624513,261.9140401273113,1485.6047990300385,0.010223066853766838,-0.0018369462312648466,0,0
1140,114882,-35.3572755698747,-73.74065659460678,389.95807548911216,8.878834876581035,261.91220164724814,1484.9290167768308,0.010229553956522253,-0.0018384800631565668,0,0
1141,114983,-35.35774810925812,-73.73313541794472,389.95860773284795,8.889070926281525,261.91036163109277,1484.2532544542544,0.010236049700489858,-0.0018400161553699945,0,0
1142,115082,-35.35822012837468,-73.72561415005298,389.9591397551236,8.899313480392426,261.9085200765802,1483.5775120970636,0.010242554110901025,-0.0018415545125662902,0,0
1143,115183,-35.35869162720988,-73.7180927910278,389.9596715559219,8.909562547594534,261.9066769814399,1482.901789740101,0.01024906720210872,-0.0018430951403161089,1,0
